num_segment
0,1,2,3,4,5,6
126410,14207,14124,14208,14208,14208,14208
area,class,hist
0,0,13921
0,1,11495
0,2,8311
0,3,11455
0,4,7630
0,5,14637
0,6,18348
0,7,9430
0,8,18205
0,9,12978
1,0,3898
1,1,957
1,2,1332
1,3,966
1,4,505
1,5,1281
1,6,1646
1,7,1571
1,8,826
1,9,1225
2,0,2086
2,1,1142
2,2,1332
2,3,1317
2,4,1177
2,5,939
2,6,1045
2,7,1517
2,8,2412
2,9,1157
3,0,974
3,1,1435
3,2,1607
3,3,1511
3,4,1648
3,5,1848
3,6,955
3,7,1193
3,8,2018
3,9,1019
4,0,1084
4,1,1027
4,2,2774
4,3,1069
4,4,765
4,5,1805
4,6,1515
4,7,1282
4,8,1056
4,9,1831
5,0,1187
5,1,1367
5,2,2119
5,3,835
5,4,975
5,5,3146
5,6,1418
5,7,1068
5,8,963
5,9,1130
6,0,1752
6,1,752
6,2,3905
6,3,704
6,4,853
6,5,819
6,6,1302
6,7,1483
6,8,1296
6,9,1342
area,index,hist
0,0,43558
0,1,24800
0,2,20508
0,3,12585
0,4,7297
0,5,5912
0,6,3739
0,7,3243
0,8,2858
0,9,1910
1,0,6344
1,1,2634
1,2,1470
1,3,1108
1,4,692
1,5,640
1,6,406
1,7,386
1,8,280
1,9,247
2,0,4879
2,1,2448
2,2,1621
2,3,1220
2,4,882
2,5,815
2,6,737
2,7,650
2,8,455
2,9,417
3,0,4682
3,1,2959
3,2,1677
3,3,1385
3,4,1162
3,5,701
3,6,641
3,7,395
3,8,349
3,9,257
4,0,4241
4,1,2756
4,2,1642
4,3,1366
4,4,1211
4,5,801
4,6,750
4,7,627
4,8,414
4,9,400
5,0,4675
5,1,2739
5,2,1634
5,3,1294
5,4,884
5,5,794
5,6,703
5,7,664
5,8,426
5,9,395
6,0,4754
6,1,2728
6,2,2084
6,3,1284
6,4,838
6,5,710
6,6,649
6,7,414
6,8,387
6,9,360
